File Name: C:\RBX_Files\Mice_384_Media_20221025_183815.rbx,,,,,,,,,,,,,,,,,,,,,,,,,
"Acquisition Date: 25-Oct-2022, 04:28 AM",,,,,,,,,,,,,,,,,,,,,,,,,
Reader Serial Number: FM3DD20314022,,,,,,,,,,,,,,,,,,,,,,,,,
Plate ID: ,,,,,,,,,,,,,,,,,,,,,,,,,
RP1 PMT (Volts): 532.38,,,,,,,,,,,,,,,,,,,,,,,,,
RP1 Target: NA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Eotaxin (74),G-CSF (54),GM-CSF (73),IFN-gamma (34),IL-17A (72),IL-1Beta (19),IL-1alpha (53),IL10 (56),IL12p40 (76),IL12p70 (78),IL13 (37),IL2 (36),IL3 (18),IL4 (39),IL5 (52),IL6 (38),IL9 (33),KC (57),MCP-1 (51),MIP-1Beta (75),MIP-1alpha (77),RANTES (55),TNF-alpha (21)
Type,Well,Description,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc
B,"A1,B1,C1",Reagent Name: Background0,,,,,,,,,,,,,,,,,,,,,,,
S1,"D1,E1,F1",Reagent Name: Standard1,36837.51,76567.23,OOR >,27628.27,11338.42,OOR >,14041.5,54631.79,OOR >,76263.98,546830.86,OOR >,8751.2,12269.05,19096.35,18237.12,OOR >,21885.96,OOR >,OOR >,12208.73,OOR >,59030.6
S2,"G1,H1,I1",Reagent Name: Standard2,9199.22,18732.73,2378.87,4978.07,2094.18,7417.11,2093.99,17705.07,52133.83,18753.11,40511.06,5252.18,2016.01,2369.56,3870.66,3273.5,7969.74,9736.19,31671.62,6941.47,1888.21,12785.56,14396.98
S3,"J1,K1,L1",Reagent Name: Standard3,1797.83,4580.23,2018.5,1468.19,562.14,2222.33,684.78,9450.87,18378.17,4805.6,18891.87,1669.01,543.62,904.99,1169.07,1242.24,3080.23,2090.4,16230.59,3743.52,514.22,3917.54,4012.11
S4,"M1,N1,O1",Reagent Name: Standard4,1273.8,1329.34,1358.64,371.91,243.62,639.03,147.53,700.87,3288.34,1310.21,3003.04,406.61,146.17,161.25,248.15,180.18,863.76,613.45,5920.03,804.78,149.63,625.48,918.94
S5,"A2,B2,C2",Reagent Name: Standard5,118.85,247.91,312.84,68.6,27.9,115.3,32.84,346.29,782.79,242.53,634.48,80.14,27.37,38.08,57.63,53.85,180.93,114.37,1030.8,174.36,29.78,287.39,182.3
S6,"D2,E2,F2",Reagent Name: Standard6,36.22,87.49,97.63,22.42,12.26,37.25,17.94,91.92,232.35,88.08,245.87,27.5,10.49,11.54,19.37,15.75,48.04,37.4,293.02,68.53,7.4,56.63,77.78
S7,"G2,H2,I2",Reagent Name: Standard7,11.44,17.96,19.16,7.94,5.87,10.52,1.76,21.28,92.37,24.24,63.34,9.38,2.07,3.54,6.44,5.05,12.75,9.41,90.4,19.2,2.91,11.39,18.93
S8,"J2,K2,L2",Reagent Name: Standard8,OOR <,4.48,5.41,1.07,OOR <,1.97,0.76,3.54,12.8,2.73,11.59,0.73,0.44,0.5,0,0.62,2.85,1.87,15.35,OOR <,0.44,3.36,2.36
X1,"M2,N2,O2",Sample ID: LA1,13.77,*4.25,7.34,3.76,0.97,5.28,2.45,16.51,67.51,44.94,87.95,6.7,1.3,1.74,OOR <,6.17,6.1,250.06,415.46,422.94,312.28,14.5,7.66
X2,"A3,B3,C3",Sample ID: LA2,66.34,OOR <,*2.64,2.34,OOR <,3.09,0.96,6.74,16.85,15.2,13.44,1.65,OOR <,0.52,OOR <,1.69,7.11,190.93,374.02,233.06,243.18,12.53,7.93
X3,"D3,E3,F3",Sample ID: LA3,14.52,OOR <,*3.02,2.08,OOR <,*1.68,0.88,5.48,23.93,9.56,15.78,0.86,OOR <,0.84,OOR <,2.58,5.13,287.78,419.73,474.08,329.51,15.56,5.73
X4,"G3,H3,I3",Sample ID: LAV1,13.19,OOR <,*2.73,5.17,0.79,*1.69,1.02,7.27,28.81,106.08,17.89,OOR <,OOR <,*0.18,OOR <,*0.28,10.31,269.48,629.58,623.64,556.96,16.76,57.7
X5,"J3,K3,L3",Sample ID: LAV2,15.4,OOR <,*2.41,3.54,OOR <,*0.85,*0.46,7.19,21.53,20.42,11.98,*0.08,OOR <,0.63,OOR <,*0.50,5.56,248.43,579.65,613.88,807.92,22.72,3.71
X6,"M3,N3,O3",Sample ID: LAV3,11.61,OOR <,*1.90,1.35,OOR <,*0.43,2.39,3.59,13.04,9.09,*9.33,OOR <,OOR <,OOR <,OOR <,*0.01,5.31,285.58,590.75,437.54,541.31,17.84,*0.09
X7,"A4,B4,C4",Sample ID: AA1,11.53,OOR <,*0.40,*0.89,OOR <,*0.51,OOR <,*2.49,*8.11,5.15,*7.48,OOR <,OOR <,OOR <,OOR <,*0.47,3.96,303.04,436.7,94.18,110.39,9.85,2.77
X8,"D4,E4,F4",Sample ID: AA2,4.97,OOR <,*1.86,1.13,OOR <,*0.56,OOR <,*3.05,*9.56,8.58,*5.28,OOR <,OOR <,OOR <,OOR <,1.39,4.53,371.01,751.92,75.48,106.61,8.22,*1.06
X9,"G4,H4,I4",Sample ID: AA3,5.12,OOR <,*1.67,3.02,OOR <,*0.36,*0.09,4.4,16.52,8.69,*6.28,OOR <,OOR <,*0.12,OOR <,0.91,8.97,263.12,518.73,76.54,114.66,9.94,*1.40
X10,"J4,K4,L4",Sample ID: AAV1,8.94,OOR <,*2.02,1.67,OOR <,*0.52,*0.53,5.99,14.84,10.62,*7.10,OOR <,OOR <,*0.01,OOR <,*0.26,6.28,181.03,517.42,431.59,488.94,15.86,2.51
X11,"M4,N4,O4",Sample ID: AAV2,11.44,OOR <,*3.41,2.38,OOR <,*1.01,0.84,6.27,20.41,10.27,16.72,0.87,OOR <,0.73,OOR <,1.16,6.41,310.15,717.88,737.89,896.53,25.9,3.46
X12,"A5,B5,C5",Sample ID: AAV3,19.67,OOR <,*0.66,2.74,OOR <,*0.42,1.19,6.88,18.65,10.44,*8.17,OOR <,OOR <,0.57,OOR <,*0.26,6.11,262.7,1685.81,731.01,706.52,21.1,3.08
X13,"D5,E5,F5",Sample ID: F1,9.97,OOR <,OOR <,1.51,OOR <,*1.38,1.5,4.51,15.37,17.62,*7.66,OOR <,OOR <,*0.28,OOR <,*0.06,6.15,357.1,866.79,417.54,665.5,18.87,OOR <
X14,"G5,H5,I5",Sample ID: F2,4.67,OOR <,*0.23,1.74,OOR <,*0.79,42.07,*3.44,*12.48,9.91,*7.13,OOR <,OOR <,*0.06,OOR <,*0.35,4.56,321.05,644.37,343.61,571.03,22.45,*0.04
X15,"J5,K5,L5",Sample ID: F3,7.27,OOR <,*0.88,*0.71,OOR <,*0.36,*0.20,4.76,*10.86,13.33,*8.00,OOR <,OOR <,*0.04,OOR <,*0.02,6.06,321.59,638.92,323.83,595.56,13.49,*0.94
X16,"M5,N5,O5",Sample ID: FV1,11.64,OOR <,*1.76,2.2,OOR <,*0.54,*0.67,5.41,21.4,15.1,*9.42,OOR <,OOR <,*0.07,OOR <,0.75,5.81,505.87,1163.37,378.55,573.13,22.45,*2.20
X17,"A6,B6,C6",Sample ID: FV2,12.05,OOR <,*0.46,1.79,OOR <,*0.38,*0.53,5.3,20.35,14.37,*8.54,OOR <,OOR <,OOR <,OOR <,*0.39,6.21,667.29,1332.57,522.44,947.86,26.31,*1.00
X18,"D6,E6,F6",Sample ID: FV3,8.53,OOR <,*1.33,1.91,OOR <,*0.24,1.74,4.35,15.28,*2.61,*4.72,OOR <,OOR <,OOR <,OOR <,*0.37,6.34,434.53,946.66,452.1,708.36,19.68,*0.78
X19,"G6,H6,I6",Sample ID: R1,8.25,OOR <,*1.24,1.09,OOR <,*0.20,*0.45,*3.23,*6.29,11.24,*7.82,OOR <,OOR <,OOR <,OOR <,3.65,*2.36,425.17,2287.24,53.04,479.59,7.21,*1.19
X20,"J6,K6,L6",Sample ID: R2,11.55,OOR <,*1.25,*0.27,OOR <,*0.39,*0.69,*3.38,*10.10,7.75,*6.53,OOR <,OOR <,OOR <,OOR <,2.22,3.16,595.82,2491.64,42.56,506.29,6.56,*1.06
X21,"M6,N6,O6",Sample ID: R3,6.01,OOR <,*0.32,1.43,OOR <,*0.23,1.04,*3.53,*6.89,8.4,*6.28,OOR <,OOR <,OOR <,OOR <,11.83,*1.60,469.11,1792.27,44.11,438.32,6.71,*0.39
X22,"A7,B7,C7",Sample ID: RV1,19.44,OOR <,*1.59,2.71,OOR <,*0.38,1.8,4.64,15.17,23,*8.23,OOR <,OOR <,*0.12,OOR <,*0.01,9.33,428.94,962.8,775.42,796.36,24.17,*0.49
X23,"D7,E7,F7",Sample ID: RV2,3.97,OOR <,*0.13,1.33,OOR <,*0.02,OOR <,4.34,14.28,20.29,*6.91,OOR <,OOR <,OOR <,OOR <,OOR <,4.02,417.03,1314.63,869.66,933.77,***,7.57
X24,"G7,H7,I7",Sample ID: RV3,11.48,OOR <,*1.46,*1.05,OOR <,*0.19,2.97,*2.13,*10.91,20.63,*7.59,OOR <,OOR <,*0.10,OOR <,*0.04,5.22,287.86,802.62,530.4,626.67,16.15,OOR <
X25,"J7,K7,L7",Sample ID: N1,13.15,OOR <,*1.45,1.61,OOR <,*0.37,*0.71,4.49,21.58,16.63,*5.09,OOR <,OOR <,OOR <,23.97,*0.10,4.05,404,1240.16,538.76,697.45,21.16,2.76
X26,"M7,N7,O7",Sample ID: N2,7.82,OOR <,*0.65,1.11,OOR <,*0.30,*0.08,5.08,*11.81,11.52,*6.92,OOR <,OOR <,OOR <,OOR <,*0.08,5.45,424.37,1402.25,679.8,894.83,22.06,*1.59
X27,"A8,B8,C8",Sample ID: N3,18.56,OOR <,*1.49,4.18,OOR <,*0.48,*0.27,6.19,35.97,24.4,*10.88,OOR <,OOR <,*0.39,OOR <,*0.04,8.21,398.29,1048.75,1025.1,867.75,35.17,*1.94
X28,"D8,E8,F8",Sample ID: NV1,11.58,OOR <,OOR <,*0.99,OOR <,*0.31,4.99,5.05,16.11,14.11,*10.17,OOR <,OOR <,OOR <,OOR <,OOR <,4.03,369.6,1037.63,524.56,722.33,19.83,*1.64
X29,"G8,H8,I8",Sample ID: NV2,22.2,OOR <,*1.75,1.08,OOR <,*0.28,5.36,5.44,*12.07,10.66,*6.16,OOR <,0.77,OOR <,OOR <,*0.12,4.06,305.91,665.42,366.62,766.51,14.64,2.79
X30,"J8,K8,L8",Sample ID: NV3,OOR <,*0.01,OOR <,2.2,OOR <,*0.29,***,*3.16,13.83,14.6,*4.63,OOR <,OOR <,OOR <,OOR <,1.18,5.37,343.73,978.75,404.65,1020.89,16.02,*0.34
X31,"M8,N8,O8",Sample ID: LT1,9.03,OOR <,OOR <,*1.05,OOR <,*0.37,OOR <,*2.91,*8.24,5.97,*7.27,OOR <,OOR <,OOR <,OOR <,OOR <,4.97,359.01,836.43,276.98,407.49,13.32,OOR <
X32,"A9,B9,C9",Sample ID: LT2,12.47,OOR <,*0.99,1.79,OOR <,*0.39,3.35,6.54,16.83,12.69,*11.20,OOR <,OOR <,*0.07,OOR <,0.67,3.79,698.86,1961.55,617.22,1241.7,31.43,OOR <
X33,"D9,E9,F9",Sample ID: LT3,19.22,OOR <,OOR <,1.49,OOR <,*0.37,*0.47,5.56,15.14,7.38,*7.55,OOR <,OOR <,OOR <,OOR <,*0.30,8.74,496.05,1408.87,570.26,932.21,21.52,*0.36
X34,"G9,H9,I9",Sample ID: LTV1,15.26,OOR <,OOR <,2.09,OOR <,*0.32,*0.68,5.35,20.42,11.76,*7.38,OOR <,OOR <,*0.20,OOR <,*0.15,8.25,531.07,1522.38,535.11,853.74,24.19,3.56
X35,"J9,K9,L9",Sample ID: LTV2,8.93,OOR <,*1.44,1.53,OOR <,*0.24,*0.53,3.67,14.7,4.38,*5.42,OOR <,OOR <,OOR <,OOR <,*0.10,4.44,461.71,1354.39,435.41,885.31,19.44,OOR <
X36,"M9,N9,O9",Sample ID: LTV3,13.58,OOR <,*0.07,1.94,OOR <,*0.29,*0.62,*3.04,*11.35,7.15,*8.47,OOR <,OOR <,OOR <,OOR <,*0.08,5.1,475.27,1278.36,437.47,796.91,24.74,*0.12
X37,"A10,B10,C10",Sample ID: Asp1,17.27,OOR <,*0.59,2.37,OOR <,*0.58,1.08,5.89,16.05,8.1,*9.33,OOR <,OOR <,OOR <,OOR <,0.73,12.57,587.19,1150.5,507.99,952.26,23.56,3.35
X38,"D10,E10,F10",Sample ID: Asp2,24.76,OOR <,*1.15,2.67,OOR <,*0.38,*0.03,4.53,13.22,7.09,*4.68,OOR <,OOR <,OOR <,OOR <,*0.01,7.4,325.77,687.69,542.92,498.69,23.08,10.46
X39,"G10,H10,I10",Sample ID: Asp3,4.44,OOR <,OOR <,14,OOR <,*0.30,*0.38,*3.46,*10.33,5.91,*6.28,OOR <,OOR <,OOR <,OOR <,*0.02,4.53,311.84,688.2,474.65,765.74,17.03,*1.03
X40,"J10,K10,L10",Sample ID: AspV1,12.13,OOR <,OOR <,*0.65,OOR <,*0.22,*0.64,*3.25,*9.20,6.33,*6.33,OOR <,OOR <,OOR <,OOR <,*0.11,4.65,466.9,1133.92,340.22,642.15,17.96,*0.74
X41,"M10,N10,O10",Sample ID: AspV2,7.72,OOR <,OOR <,1.08,OOR <,*0.24,*0.70,3.8,12.95,4.12,*6.35,OOR <,OOR <,OOR <,OOR <,*0.18,3.33,536.87,1235.16,368.32,577.58,16.8,OOR <
X42,"A11,B11,C11",Sample ID: AspV3,13.24,OOR <,OOR <,2.14,OOR <,*0.47,*0.60,4.92,*12.68,10.3,*9.11,OOR <,OOR <,*0.03,OOR <,*0.14,3.91,433.76,1046.69,387.31,399.37,18.39,*0.06
X43,"D11,E11,F11",Sample ID: AAA1,7.55,22.52,*0.38,1.33,OOR <,*0.27,0.94,4.43,*4.02,8.74,*4.88,OOR <,OOR <,OOR <,OOR <,2.03,4.88,609.52,1172.63,474.3,677.85,19.84,OOR <
X44,"G11,H11,I11",Sample ID: AAA2,6.65,24.99,*0.34,*0.93,OOR <,*0.23,*0.68,*2.60,*2.20,5.25,*7.76,OOR <,OOR <,OOR <,OOR <,2.19,3.12,728.67,962.16,560.93,479.4,15.08,OOR <
X45,"J11,K11,L11",Sample ID: AAA3,7.59,27.82,OOR <,*0.92,OOR <,*0.23,*0.20,*2.72,*2.38,7.64,*5.91,OOR <,OOR <,OOR <,OOR <,1.98,5.05,577.67,713.03,613.3,569.63,14.17,OOR <
X46,"M11,N11,O11",Sample ID: AAAV1,7.35,OOR <,OOR <,1.07,OOR <,*0.29,*0.47,*3.29,*9.46,8.91,*7.05,OOR <,OOR <,OOR <,OOR <,OOR <,4.7,574.72,1620.13,363.53,735.01,19.64,OOR <
